Cycles/Pixel,Modulation_Factor
0.000000,1.000000
0.032258,0.954740
0.064516,0.855525
0.096774,0.738850
0.129032,0.611133
0.161290,0.480092
0.193548,0.370962
0.225806,0.271394
0.258065,0.186272
0.290323,0.123981
0.322581,0.081751
0.354839,0.046488
0.387097,0.026540
0.419355,0.013710
0.451613,0.008375
0.483871,0.011773
0.516129,0.013456
0.548387,0.015790
0.580645,0.018789
0.612903,0.019836
0.645161,0.018638
0.677419,0.019729
0.709677,0.022316
0.741935,0.023063
0.774194,0.023120
0.806452,0.022899
0.838710,0.020924
0.870968,0.018280
0.903226,0.016177
0.935484,0.015220
0.967742,0.015066
1.000000,0.015103
